This page is showing about	Metalloporphyrin chapter all the important questions.
Role of Ca2+	1. Form solid skeleton mateirals e.g. bondes, 2. Stabilizes conformation of proteins, 3. Plays a vital role in blood clotting.
Role of Cu	1. Ceruloplasmin (Cu enzyme) found in plasma, plays a role in Fe metabolism. 2. Plastocyanin, is involved in electron transfer in photosynthesis.
Mechanism of CO2 transportation in the body 	When CO2 has higher partial pressure in tissue, it enters the erythrocyte through the capillary and forms H2CO3 with H2O in the presence of CA. That decomposes to H+ and HCO3-(), and the H+ with HbO2 forms HHbO2 that further decomposes into HHb and O2. Then O2 goes into tissues.
Mechanism of O2 transportation in the body	When O2 have higher partial pressure in the lungs, it goes into the erythrocyte through the capillary and forms HHbO2 with HHb that further decomposes to H+ and HbO2-. Then the H+ with HCO3-() forms H2CO3 that decomposes into CO2 and H2O in the presence of the CA(carboxy anhydrase) enzyme. Finally, the CO2 comes back to the lungs.
Maintaining the pH of blood 	The pH of blood is 7.4 and this is maintained by the buffer system of HCO3-/H2CO3 and Hb-/HHb. The CO2 produced in the metabolic process form H2CO3 with H2O in erythrocytes in the presence of CA. That decomposes or ionized into H+ and HCO3-. This HCO3- diffuses out of the erythrocyte and is carried out by blood plasma to the lungs and this is a major mechanism of CO2 removal. The H+ reacts with the conjugate base (HbO2-) and forms HHbO2 which releases oxygen more easily. Now the O2 inhaled goes into the erythrocyte from the lungs, in this case, HCO3- ions diffuse into the erythrocyte from plasma and react with haemoglobin to form H2CO3, Hb- where the H2CO3 decomposes into water and CO2. Then the CO2 diffuses to the lungs and is eventually exalted. The Hb- reacts with O2 and forms HbO2-that again reacts with HCO3- to form Hb- and H2CO3. This carbonic acid again decomposes into water and CO2. In this whole process, we see that the buffer system is HCO3-/H2CO3 and Hb-/HHb which releases CO2 and maintains the pH of blood to 7.4.
Oxygen saturation curve in haemoglobin and myoglobin 	Sigmoidal curve where the partial pressure of O2 (kPa)(0-20) vs saturation percentage(%)(0-100)
Myoglobin in oxygen saturation curve	at the over of haemoglobin
Haemoglobin in oxygen saturation curve	Hb at ph=7.6 over Hb at pH=6.8 but under Mb
What does the O2 saturation curve mean? 	The sigmoidal curve means that both the update and release of successive O2 molecule is cooperative. Additional: At low O2 partial pressure and greater acidity Hb has a low affinity for O2 that enables Hb to transfer its O2 to Mb. When pressure gets increased the affinity gets increased to bind O2 by the hemoglobin and consequently, Hb can pick up O2 from the lungs.
A low affinity of Hb is called	T state (Deoxyhemoglobin)
The high affinity of Hb is called	R state(Oxyhemoglobin)
Cytochrome	Proteins that sequencly transfer electrons to O2.
Prosthetic group of cytochrome 	heme undergoes reversible Fe2+ <--> Fe3+ oxidation and reduction
Energy transferer in photosynthetic reaction 	 cytochrome 
Prosthetic group	non-protein part of a protein.
Prosthetic group may be 	non-protein: organic, inorganic e.g. metal 
The iron atom in cytochrome 	can exist in two oxidation states Fe2+ and Fe3+
Cytochrome structure 	Cytochrome structure consists of a heme group with an iron atom at its centre, coordinated to histidine residues within a protein. This structure allows cytochromes to participate in electron transfer reactions, aiding in various biological processes.
Why is the potential O2 carrying capacity of the heam in cytochrome blocked?	There is not any vacant site of Fe at the sixth position of Heme, so potential oxygen-carrying capacity is blocked.
Cytochrome P-450 	transports oxygen rather than electrons as cytochrome.
Typical reaction of cytochrome P-450	R-H to R-OH
Mechanism of cytochrome P-450	image
The usual net reaction of Photosynthesis	converts H2O and CO2 to carbohydrates and O2
Biproduct of photosynthesis	O2
Half or more of the photosynthesis occurs in 	algae, diatoms, and certain red, green, brown, and purple bacteria
Oxidized species in photosynthesis generally	H2O
Oxidized species in photosynthetic bacteria 	H2S, produce S instead of O2.
O2-producing chloroplasts contain two kinds of chlorophyll	1. chlorophyll a.
In photosynthesis, O2 is produced from 	H2O
During photosynthesis, NADP+ reduces to 	 NAD+ which is driven by light energy absorbed.
Carbohydrates occur in photosynthesis by 	reduction of CO2
Carbohydrate synthesis uses the energy from	stored energy by the NADPH and ATP
How many reactions in O2 producing plants	2 light reactions: Photosystem 1 and Photosystem 2
Does Photosystem 1 produce O2	No
Photosystem A involves chlorophyll	chlorophyll a
Chlorophyll A absorbs	680 nm
In which photosystem, O2 formation occurs	photosystem 2
Photosystem 2 involves	chlorophyll a and b
Photosystem I contains	about 200 chlorophyll molecules and about 50 carotenoid pigment molecules.
How many photons are needed for photosystem 1?	8 photons.
Mn are involved in photosystem	2
Z scheme for the pathway of electron transfer from H2O to NADP+ in two photosynthesis for green plants	H2O->P680->P680*->Acceptor(Ph, pheophytin)->plastoquinone->Qb(second quinone)->cytochrome Bf complex(cytochrom chain and Fe-S protein)->plastocyanin->P700->P700*->Acceptor(Ao)->Phyloquinone->Fe-S protein->ferredoxin->ferredoxin-NADP+ ->NADP+ ->NADPH 
Overall NADP+ to NADPH conversion	H2O + NADP+ + 8 photons -> 2NADPH + 2H+ + O2
