Metabolism of Lipid	All details, figures, reactions, and concepts will be discussed here.
Triglycerol	triester of fatty acid and glycerol, nonpolar, hydrophobic 
Make a triglecerol: 	img(https://i.imgur.com/vljc209.png)
types of triester	two types: single fatty acid (example on the above reaction), mixed fatty acid img(https://i.imgur.com/VEkaQbL.png)
Phospholipids	1. amphipathic, 2. vital structural component of the cell membrane, 3. can be broken down to their residue by the enzyme phosphatase which hydrolyses their fatty acids and phosphoric acid
Sterol	1. known as steroid alcohol, occurs naturally in plants, animals etc. e.g. cholesterol
Sterol types	1. Phytosterol- plant sterol. 2. Zoosterol - animal sterol. 3. Ergosterol - present in the cell membrane of fungi.
Phytosterol advantages	blocks cholesterol and reduces it in the human body
Lipid catabolism	Lipolysis. Lipase enzymes hydrolyze triacylglycerols releasing one fatty acid at a time producing diacylglycerols, and eventually glycerol. The end of the process is 3 fatty acids and 1 glycerol. img(https://i.imgur.com/v3AiJJB.png)
How does glycerol enter into glycolysis? 	img(https://i.imgur.com/hx38D2i.png)
How are fatty acids activated and transported into the mitochondrial matrix?	In animal cells, the enzymes of fatty acid oxidation are located in the mitochondrial matrix. So fatty acid should enter into the matrix. The fatty acids with chain lengths of 12 or fewer carbons enter mitochondria easily. The fatty acids with 14 C or more than 14 C chain cannot pass directly through the mitochondrial membranes. For this they have to undergo the 3 enzymatic reactions of the carnitine shuttle.<br>1. They convert themselves into fatty acyl-CoA in ctosole.<br>2. Then the fatty acyl-CoA converts into fatty acyl-carnitine in the outer mitochondrial membrane.<br>3. Finally, the fatty acyl-carnitine is enzymatically transferred from carnitine to intramitochondrial coenzyme A by carnitine acyltransferase II
How are fatty acids activated and transported into the mitochondrial matrix? Provide reactions.	img(https://i.imgur.com/YAMi2kw.png) img(https://i.imgur.com/jcnJTod.png)
Catabolism of fatty acid	conversion of fatty acid to a 1-acetyl-CoA
Steps of catabolism of fatty acid	1. Activation of fatty acid (by beta-oxidation), 2. Reaction with FAD to make unsaturation, 3. hydroxylation, 4. beta hydroxyl group will be oxidized by NAD+ (beta-oxidation of fatty acid). 5. now first turn acetyl-CoA splits off from the beta keto. with this, a new molecule of CoA attaches to the remaining fragment which has 2 fewer C atoms than the starting material. 6. depending on carbon numbers, further steps (2-5) will be repeated. Here beta oxidation requires 2 ATP investment for the first time only to attach CoA.
Reactions of catabolism of fatty acid	img(https://i.imgur.com/l3gHRcm.png) img(https://i.imgur.com/UfiI5jS.png)
Electron produced by 1 trun	1 turn produce 1 FADH2 and 1 NADH<br> 1 FADH2 = 2e- release; 1 NADH = 2e- release<br> Total = 4 e- for 1 turn
Electrons produced by 1 cycle (TCA)	1 cycle (TCA) produce 1 FADH2 and 3 NADH<br>1 FADH2 = 2e- release; 1 NADH = 2e- release<br>Total = 8 e- for 1 cycle (TCA)
ATP produced by 1 turn	4 ATP
ATP produced by 1 cycle (TCA)	12 ATP
How much ATP is produced by Hexanoic acid?	img(https://i.imgur.com/tPlxik7.png)<br>Adding the ATP from beta-oxidation and the TCA cycle: 8 ATP (beta-oxidation or from the fatty acid cycle)+36 ATP (TCA)=44 ATP 
Dodecanoic acid 	10 carbon
Calculate the number of ATP’s produced when lauric acid is completely oxidized.	img(https://i.imgur.com/BsrBUSz.png)
The formula weight of lauric acid (C12H24O2) is 200. Calculate the ATP production per gram of lauric acid. How does this compare with that of palmitic acid?	img(https://i.imgur.com/u7mnio6.png)
Show the β-Oxidation of Monounsaturated Fatty Acid.	 Oleic acid, as oleoyl-CoA (Δ9):  Oleoyl CoA undergoes three cycles of β-oxidation like normal saturated fatty acids to yield 3 molecules of acetyl CoA and results in the formation of 12-carbon fatty acyl-CoA with a cis double bond now between carbon 3 and 4. This product is known as cis-Δ<sup>3</sup>-Dodecenoyl-CoA. <br> The above product formed has a cis double bond and cannot further participate in β-oxidation. Thus by the action of Δ<sup>3</sup>,Δ<sup>2</sup>-enoyl-CoA isomerase, cisΔ<sup>3</sup>-Dodecenoyl-CoA is converted to trans-Δ<sup>2</sup>-Dodecenoyl-CoA. This is the significance of the isomerase enzyme in the β-oxidation of unsaturated fatty acids. <br> trans-Δ<sup>2</sup>-Dodecenoyl-CoA now is acted upon by the enzymes of the β-oxidation pathway in five continuous cycles to yield another 6 molecules of acetyl CoA. <br>•The acetyl-CoA molecules now enter Kreb’s cycle.img(https://i.imgur.com/lxqSpfg.png)
Show the β-Oxidation of Polyunsaturated Fatty Acid. 	Linoleic acid, as linoleoylCoA (∆<sup>9,12</sup>)img(https://i.imgur.com/PiG11Pi.png) img(https://i.imgur.com/LSZKgVE.png)
