Know about 	Glycolysis with diagram, steps in details
What converts pyruvate to acetyl CoA?	Pyruvate is converted to acetyl-CoA with the help of the enzyme- Pyruvate dehydrogenase complex. • It is the process of oxidative decarboxylation whereby a carbon dioxide molecule occurs in the citric acid cycle. • The pyruvate dehydrogenase complex consists of three enzymes and five coenzymes. • This reaction is carried out in the mitochondrial matrix. • The overall reaction is: 2Pyruvate + 2NAD+ + 2CoA ⇢ 2AcetylCoA + CO2 + 2NADH <br>img(https://i.imgur.com/9FQPhye.png)
What is the link reaction between glycolysis and the TCA cycle?	img(https://i.imgur.com/MPalPME.png)
What is the importance of phosphate in glycolysis?	A phosphate group is transferred from ATP to glucose, making glucose-6-phosphate. Glucose6-phosphate is more reactive than glucose, and the addition of the phosphate also traps glucose inside the cell since glucose with a phosphate can't readily cross the membrane.
What are phosphorylated intermediates?	Intermediates of glycolysis are 1. Glucose-6-phosphate (G6P), 2. Fructose-6-phosphate (F6P), 3. Fructose1,6bisphosphate (F1,6P), 4. Glyceraldehyde-3-phosphate (G3P), 5. Dihydroxyacetonephosphate (DHAP), 6. 1,3-bisphoglycerate, 7. 3-phosphoglycerate (3PG), 8. 2-phosphoglycerate (2PG), 9. Phosphoenolpyruvate (PEP)
How many enzymes involved in glycolysis?	 • Hexokinase • Phosphohexose isomerase • Phosphofructokinase-1 • Aldolase • Triosephosphate isomerase • Glycerol-3-phosphate dehydrogenase • Phosphoglycerate kinase • Phosphoglycerate mutase • Enolase • Pyruvate kinase
How much ATP is produced during glycolysis? 	1 NADH= 3 ATP; 1 ATP = 1 ATP; Total (net) ATP produced in glycolysis = 2 x 3 ATP + 2 ATP = 8 ATP
What is the reason for glucose phosphorylation during glycolysis? 	Phosphorylation serves multiple purposes: <br>1. It prevents intermediates from escaping the cell, despite concentration differences inside and outside the cell. <br>2. Phosphorylated intermediates serve as energy donors. <br>3. The binding of a phosphate group facilitates enzyme activity in catalyzing the reaction.
Where are the control points in the glycolytic pathway?	Ans: Steps 1, 3 and 10.<br>In glycolysis, three reactions are control points. The first is the reaction of glucose to glucose-6-phosphate, catalyzed by hexokinase; the second, which is the production of fructose-1,6-bisphosphate, is catalyzed by phosphofructokinase; and the last is the reaction of PEP to pyruvate, catalyzed by pyruvate kinase. These reactions can be inhibited by the following: img(https://i.imgur.com/uxOVT7e.png)
What reactions convert glyceraldehyde-3-phosphate to pyruvate?	Answer: Step 6 to step 10
How does the conversion of pyruvate to lactate take place in muscle?	img(https://i.imgur.com/xI5ye3p.png)
How lactate can be recycled?	img(https://i.imgur.com/L5tjaGO.png)
How does the conversion of pyruvate to ethanol in anaerobic conditions occur?	Pyruvate is decarboxylated first to acetaldehyde by the thiamine pyrophosphate (TPP)requiring the enzyme pyruvate decarboxylase. The resulting product acetaldehyde, is then reduced by NADH to form ethanol by the enzyme ethanol dehydrogenase and reforms NAD+. img(https://i.imgur.com/QbYPhau.png)
How are the irreversible steps bypassed in gluconeogenesis? What are they?	Three reactions of glycolysis are essentially irreversible in vivo and cannot be used in gluconeogenesis. In gluconeogenesis, the three irreversible steps are bypassed by a separate set of enzymes, catalyzing reactions that are sufficiently exergonic to be effectively irreversible in the direction of glucose synthesis.
How many enzymes are involved in the bypass process of gluconeogenesis	 •Pyruvate carboxylase •PEP carboxylase •Fructose-1,6-bisphosphatase •Glucose-6-phosphatase
Conversion of pyruvate to phosphoenolpyruvate	first bypass img(https://i.imgur.com/EO9PDxg.png)
2nd bypass	conversion of fructose 1,6-bisphosphate to fructose 6-phosphate img(https://i.imgur.com/a64QQ2j.png)
3rd bypass	glucose 6-phosphate to glucose img(https://i.imgur.com/HlGeX9H.png)
How does glycerol enter into the glycolytic pathway?	img(https://i.imgur.com/sDk6HAU.png)
Read	<a href="https://flash.cardcodegenerator.com/flashcards.php?file=flashcards%2FAll+about+Citric+Acid+Cycle.txt">Citric acid cycle</a>
